设备ID,风机ID,风场ID,记录时间,轮毂额定转速设定值,轮毂最大转速设定值,变桨启动位置设定值,叶片待机位置设定值,叶片1限位位置设定值,叶片2限位位置设定值,叶片3限位位置设定值,叶片工作位置设定值,风向偏置设定值,通风机启动温度设定值,风机功率限制设定值,功率因数设定值,转动模式速度设定值,主轴承油脂泵启动时间间隔,主轴承油脂泵运行周期,偏航轴承油脂泵运行时间间隔,偏航轴承油脂泵运行周期,变桨轴承油脂泵运行时间间隔,变桨轴承油脂泵运行周期,变桨齿轮油脂泵启动间隔时间,PN表格选择,风机软件版本号,总发出的有功电量,总吸收的有功电量,总发出的无功电量,总吸收的无功电量,叶片1总变桨角度,叶片2总变桨角度,叶片3总变桨角度,总解缆转数,总轮毂转动圈数,总偏航次数,系统时间,采样序号,轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,扭缆圈数,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,变频器冷却液液位要求,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,扭缆圈数,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,变频器控制状态,无功功率控制状态,变频器状态,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,PLC_1,PLC_2,PLC_3,PLC_4,PLC_5,PLC_6,PLC_7,PLC_8,PLC_9,PLC_10,PLC_11,PLC_12,PLC_13,PLC_14,PLC_15,PLC_16,PLC_17,PLC_18,PLC_19,PLC_20,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,PLC_30,5秒标志位,10秒标志位,30秒标志位,60秒标志位,5分钟标志位,10分钟标志位,30分钟标志位,60分钟标志位 
102,2,1,2019-09-01 00:00:00,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689345,28637,8.21,326,0.01,0.02,0.01,55.52,55.5,55.57,8.33,13.1,-0.07,0.04,0.7,167.2,4.3,237,1,1,180,678,149,0,153,8.37,268,171,34.1,33.3,0,2.3,0,2067.6,0,16.83,22.3,37.7,38.3,36.9,38.2,37.9,37.5,64.1,52.4,60.5,58.4,31.9,36.2,30.9,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,29,29,29,39,42,41,36,36,36,36,True,True,True,True,True,True,True,True,
102,2,1,2019-09-01 00:00:01,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689346,28647,8.2,20,0.01,0.02,0.01,55.52,55.53,55.59,8.3,11.7,0.04,0.05,0.7,167.1,4.9,237,1,1,179,678,139,0,149,8.4,276,169,34.4,33.4,0,2.3,0,2067.6,0,16.83,22.3,37.2,38.3,37,39,37.9,37.5,64.1,52.4,60.5,58.4,31.9,36.1,30.9,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:02,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689347,28657,8.18,74,0.01,0.02,0.01,55.48,55.48,55.57,8.2,13,0.03,-0.05,0.7,167,4.5,237,1,1,176,673,148,0,146,8.41,256,168,34.4,33.5,0,2.3,0,2067.6,0,16.83,22.2,35.3,38.3,37,40.6,37.9,37.6,64.1,52.4,60.5,58.4,31.9,36.1,30.9,30.7,35,35,35,0.664,-0.8,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:03,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689348,28667,8.12,128,0.01,0.02,0.01,55.63,55.55,55.67,8.25,14.2,-0.05,0.03,0.7,166.9,3.1,236,1,1,174,687,140,0,142,8.04,274,166,34.2,33.1,0,2.3,0,2067.6,0,16.83,22.2,32.5,38.3,37.1,41.6,37.9,37.6,64.1,52.4,60.5,58.4,31.9,36.2,30.9,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:04,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689349,28677,8.06,182,0.01,0.02,0.01,55.66,55.62,55.73,8.16,15.6,0.04,0.06,0.7,166.8,4.8,235,1,1,176,673,134,0,146,8.08,269,165,34.3,33.4,0,2.3,0,2067.6,0,16.83,22.2,33.2,38.2,37.1,40.9,37.8,37.6,64.1,52.4,60.5,58.4,31.8,36.2,30.9,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:05,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689350,28687,8.02,236,0.01,0.02,0.01,55.69,55.71,55.77,8.09,17.6,-0.04,-0.05,0.7,166.7,4.5,234,1,1,177,668,142,0,141,8.19,263,164,34.1,33.1,0,2.3,0,2067.6,0,16.83,22.2,34.4,38.2,37.1,40,37.8,37.5,64.1,52.4,60.5,58.4,31.9,36.3,30.9,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,29,29,29,39,42,41,36,36,36,36,True,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:06,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689351,28697,8.01,288,0.01,0.02,0.01,55.85,55.71,55.85,8.12,19.3,0.04,0.02,0.7,166.7,4.3,233,1,1,168,679,135,0,136,7.97,261,163,33.9,33.2,0,2.3,0,2067.6,0,16.83,22.2,37.1,38.2,37.1,38.8,37.9,37.5,64.1,52.4,60.5,58.4,31.8,36.3,30.9,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:07,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689352,28707,8.01,342,0.01,0.02,0.01,55.76,55.7,55.74,8.08,20,0.01,0.03,0.7,166.5,4.2,233,1,1,170,679,136,0,137,8.17,257,161,33.9,33.3,0,2.3,0,2067.6,0,16.83,22.2,40.2,38.2,37.1,36.7,37.9,37.5,64.1,52.4,60.5,58.4,31.8,36.2,30.9,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,29,30,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:08,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689353,28717,8.02,36,0.02,0.02,0.01,55.72,55.69,55.8,8.09,22.4,-0.04,-0.06,0.7,166.6,3.3,232,1,1,167,679,133,0,144,8.2,245,161,33.9,33.1,0,2.3,0,2067.6,0,16.83,22.2,41.6,38.2,37.1,35.4,37.9,37.5,64.1,52.4,60.5,58.4,31.9,36.2,30.9,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:09,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689354,28727,8.03,90,0.02,0.02,0.01,55.82,55.78,55.92,8.06,23.8,0,0.08,0.7,166.5,4.5,231,1,1,167,688,132,0,139,8.02,240,160,34.1,33.5,0,2.3,0,2067.6,0,16.83,22.2,44.4,38.2,37.1,34,37.9,37.6,64.1,52.4,60.5,58.4,31.8,36.1,30.9,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:10,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689355,28737,8,144,0.02,0.02,0.01,55.81,55.78,55.86,8.06,25.3,0.02,0.02,0.7,166.5,4.6,230,1,1,173,679,139,0,143,8.06,251,160,34,33.4,0,2.3,0,2067.6,0,16.83,22.2,46.1,38.2,37,33,37.8,37.6,64.1,52.4,60.5,58.4,31.9,36.2,30.9,30.7,35,35,35,0.664,0,-0.8,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,29,29,29,39,42,41,36,36,36,36,True,True,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:11,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689356,28747,8.01,198,0.01,0.02,0.01,55.88,55.79,55.99,8.12,25.9,-0.07,-0.06,0.7,166.4,4.8,229,1,1,166,680,131,0,135,8.01,253,160,33.9,33.3,0,2.3,0,2067.6,0,16.83,22.2,45.6,38.2,37.1,33,37.8,37.6,64.1,52.4,60.5,58.4,31.8,36.2,30.8,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:12,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689357,28757,8,252,0.01,0.02,0.01,56.01,55.81,55.97,8.07,26.9,0.05,0.08,0.7,166.2,5.1,229,1,1,173,679,137,0,137,7.95,259,160,33.8,33.5,0,2.3,0,2067.6,0,16.83,22.2,44.8,38.2,37.1,34.2,37.8,37.6,64.1,52.4,60.5,58.4,31.8,36.3,30.8,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:13,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689358,28767,8.02,304,0.01,0.02,0.01,55.94,55.84,55.94,8.09,28.1,-0.04,-0.01,0.7,166.2,4.6,228,1,1,167,679,140,0,131,7.8,253,161,34.1,33.6,0,2.3,0,2067.6,0,16.83,22.2,42.5,38.2,37,36.1,37.8,37.6,64.1,52.4,60.5,58.4,31.8,36.3,30.7,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
