学校,姓名,信息
东华大学,陈振中,https://meccol.dhu.edu.cn/2017/0410/c9146a177364/page.htm
中国机械工程学会机械设计分会,丁昕祯,https://www.cmes.org/notice/56531bb75503448a9d2043d3f30711c5.html
国防科技大学,都柄晓,https://www.cmes.org/notice/33b5f8b6714240bdab5b565e58cd1c3e.html
国防科技大学,高经纬,https://www.nudt.edu.cn/zjkd/kdgs/0ab0c3c0264f4d58bb1f415d20a1c49a.htm
华中科技大学,胡杰翔,https://www.scholarmate.com/P/X3y77k?
浙江大学,胡伟飞,https://person.zju.edu.cn/weifei
西安交通大学,李宝童,https://www.xjtu.edu.cn/jsnr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1632&wbwbxjtuteacherid=1933
西安交通大学,林起崟,https://www.xjtu.edu.cn/jsnr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1632&wbwbxjtuteacherid=2232
湖南大学,刘杰,http://eeit.hnu.edu.cn/info/1407/4628.htm
电子科技大学,刘宇,https://faculty.uestc.edu.cn/yuliu
上海交通大学,刘钊,https://faculty.sjtu.edu.cn/liuzhao1
长沙理工大学,刘鑫,https://www.csust.edu.cn/qjxy/info/1412/12095.htm
湖南大学,龙湘云,http://mve.hnu.edu.cn/info/1099/2257.htm
西北工业大学,孟亮,https://teacher.nwpu.edu.cn/m/2018010037.html
湖南大学,倪冰雨,http://postdoctor.hnu.edu.cn/info/1004/2281.htm
北京理工大学,史人赫,https://sae.bit.edu.cn/szdw20/szml/fxqgcx20/fgjzcapypx/0ae470c0d04a432186e9e88caf9d073e.htm
大连理工大学,宋学官,http://faculty.dlut.edu.cn/sxg/zh_CN/index.htm
浙江大学,童哲铭,https://person.zju.edu.cn/ztong
国防科技大学,王志祥,https://meeting.cmes.org/?sid=1089&mid=272&v=100#!c/showNews/a/index/id/3513/label/331
电子科技大学,王泽群,https://yjsjy.uestc.edu.cn/gmis/jcsjgl/dsfc/dsgrjj/20867?yxsh=04
电子科技大学,汪忠来,https://faculty.uestc.edu.cn/wangzhonglai/zh_CN/index.htm
国防科技大学,武泽平,https://www.scholarmate.com/P/YSxkRg?
湘潭大学,夏翌彰,https://www.163.com/dy/article/IGVE2K4C0534P59R.html
湖南科技大学,肖钊,https://jd.hnust.edu.cn/szdw/grxx/1cd8e3c3e9114a559e2e3b9dd99361e2.htm
北京理工大学,熊芬芬,https://sae.bit.edu.cn/szdw20/szml/fxqkzx20/fgjzcapypx_1/b187381.htm
西安交通大学,闫柯,https://gr.xjtu.edu.cn/web/yanke
河北工业大学,张德权,https://mes.hebut.edu.cn/kxyj/kytd/108697.htm
西安电子科技大学,张树新,https://web.xidian.edu.cn/sxzhang/
西北工业大学,周长聪,https://teacher.nwpu.edu.cn/changcongzhou.html
华中科技大学,周奇,http://faculty.hust.edu.cn/ZHOUQI/zh_CN/tzysd/2135548/list/index.htm
