学校,姓名,信息
安徽农业大学,赵刚,https://gxy.ahau.edu.cn/szdw/clgcx.htm
北京航空航天大学,张超,https://shi.buaa.edu.cn/zhangchao/zh_CN/index.htm
北京科技大学,伍毅,https://me.ustb.edu.cn/shiziduiwu/jiaoshixinxi/2022-11-11/668.html
大连理工大学,刘海涛,https://faculty.dlut.edu.cn/liuhaitao/zh_CN/index.htm
大连理工大学,阚子云,https://faculty.dlut.edu.cn/kanziyun1/zh_CN/index.htm
大连理工大学,"胡正国（汇报）
 宋学官（导师）",http://faculty.dlut.edu.cn/sxg/zh_CN/xsxx/828145/content/216207.htm
大连理工大学,"王沐晨（汇报）
宋学官（导师）",https://faculty.dlut.edu.cn/sxg/zh_CN/xsxx/828145/content/218077.htm
大连理工大学,张帅,http://faculty.dlut.edu.cn/sxg/zh_CN/xsxx/828145/content/211960.htm
大连理工大学 ,"庞勇（汇报）
宋学官（导师）",https://faculty.dlut.edu.cn/sxg/zh_CN/xsxx/828145/content/218077.htm
东华大学,周笛,https://meccol.dhu.edu.cn/2022/0527/c18681a296139/page.htm
东南大学,司伟,https://me.seu.edu.cn/sw_31804/listm.htm
东南大学,李冰珏,https://me.seu.edu.cn/lbj_50396/listm.htm
广东海洋大学,肖小平,https://www.gdou.edu.cn/jnxy/info/1070/1752.htm
国防科技大学,王前程,https://www.cstam.org.cn/static/file/20191227/20191227152250_821.pdf
合肥工业大学,李伟,https://faculty.hfut.edu.cn/welly/zh_CN/index.htm
河北工业大学,张鹏,https://www.x-mol.com/university/faculty/262781
河北工业大学,冯世哲,https://mes.hebut.edu.cn/szdw/jsml/lxx/a0aee935098c46e2af73e81895603149.htm
河南工业大学,朱亚威,https://jdxy.haut.edu.cn/info/1220/6916.htm
河南科技大学,程立,https://www.facebook.com/wchengli/
湖南大学,龙湘云,http://mve.hnu.edu.cn/info/1099/2257.htm
华东交通大学,肖伟,https://rsc.ecjtu.edu.cn/info/1080/1585.htm
华南理工大学,朱本亮,https://www.scholarmate.com/P/yMvmQr?
南昌大学,杜兴,https://teacher.ncu.edu.cn/publish/092998/
"南昌大学
华中科技大学（博后）",谢贤达,https://mse.hust.edu.cn/szdw/bsh.htm
"南昌大学
华中科技大学（博后）",谢贤达,
宁夏大学,侯才生,https://jxgc.nxu.edu.cn/info/1157/5332.htm
三峡大学,董元发,https://www.scholarmate.com/P/2QRju2?
山东大学,马嵩华,https://www.mech.sdu.edu.cn/info/1128/121097.htm
上海第二工大学,吴子豪,https://imce.sspu.edu.cn/2023/1213/c2852a124998/pagem.psp
上海海事大学,王尧,https://ls.shmtu.edu.cn/2023/0911/c7569a215563/page.htm
上海交通大学,马进,https://icst.sjtu.edu.cn/DirectoryDetail.aspx?id=6
上海交通大学,毕尤一,https://www.ji.sjtu.edu.cn/cn/spotlight-zh/2020-03-04/88022/
太原理工大学,李国兴,https://mc.tyut.edu.cn/info/1024/3619.htm
武汉大学,孙韵韵,https://pmc.whu.edu.cn/info/1018/16217.htm
西安建筑科技大学,辜裕城,https://arch.xauat.edu.cn/Index/Index/teacherb.html
西安交通大学,陈飞,https://clet.xjtu.edu.cn/info/1055/3184.htm
西安理工大学,王建磊,https://jyxy.xaut.edu.cn/info/1179/2622.htm
西华大学,陈科,https://rsc.xhu.edu.cn/f1/26/c3234a192806/page.htm
西南交通大学,张海柱,https://faculty.swjtu.edu.cn/zhanghaizhu/zh_CN/index.htm
湘潭大学,"张志强（学生）
张建平（博导）",https://jxgc.xtu.edu.cn/info/1108/5248.htm
湘潭大学,夏翌彰,https://www.163.com/dy/article/IGVE2K4C0534P59R.html
长沙理工大学,李奇奇,https://www.csust.edu.cn/qjxy/info/1035/10873.htm
浙江工业大学, 叶伟伟,https://homepage.zjut.edu.cn/yww/
郑州科技学院,曹安港,https://www.zit.edu.cn/info/1162/24512.htm
中国科学院长春光学精密机械与物理研究所,邓永波,https://people.ucas.ac.cn/~dengyb
中国空气动力研究与发展中心,廖文林,https://www.cardc.cn/
中国矿业大学,赵啦啦,https://cmee.cumt.edu.cn/info/1107/5160.htm
中山大学,杜现平,https://soet.sysu.edu.cn/zh-hans/teacher/171
周口师范学院 ,钟志华,https://www.zknu.edu.cn/
