页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,2057327125,Nll9QpbNt,人民视频,2023-09-28 08:30:00,【#高校学生用积木修复墙面#】9月26日，湖南湘潭。湖南科技大学内一水泥墙面开裂受损，同学使用彩色积木进行修补，起重机等施工器材在墙面上摆饰细节满满，该区域已经成为同学们的打卡点。 人民视频的微博视频 ,17,5,222
1,5517771876,NlP6TbYER,-西野呼啸鹰-,2023-10-01 12:45:06,文明其精神，野蛮其体魄，非常有意义的一次军训，新生第一堂课@湖南科技大学 -西野呼啸鹰-的微博视频 ,26,15,172
1,5307012945,NlRA0vytK,-四分三十三秒-,2023-10-01 19:02:21,湖南科技大学。 ,27,18,458
1,5977306811,Noj2Kak8S,南妖北辰,2023-10-17 20:37:55,湖南科技大学考研湖南科技大学考研求问湖科大考研中国史压分吗歧视吗？ ,0,1,0
1,1986888471,Noj1q3MCm,长沙校园,2023-10-17 20:34:39,#蜡笔小新拍下的湖南高校#  你想要照片合集嘛那就摆好姿势吧看看湖南的高校，姿势摆的还不错吧 （图片源自：@湖南科技大学 ） 长沙校园的微博视频 ,0,0,0
1,5885539809,NoiFAlo1T,易悠岚LKD,2023-10-17 19:40:52,湖南科技大学#迎新之夜呼叫所有新同学##微博迎新之夜# 微博迎新之夜来啦 所以新同学快来参与吧 ,0,0,4
1,6463031380,NohiUAl0S,小A的留学课堂,2023-10-17 16:12:16,#小a的留学分享#  🇬🇧👦🏻  曼彻斯特大学通信工程硕士 湖南科技大学电子信息类学士 💡【留学分享】 花大价钱出国留学却要回国工作 这样的人生值得吗？ 🔻𝑨𝒃𝒐𝒖𝒕🔻  🌵 Part 1: 纠结 🌵 Part 2: 探索 🌵 Part 3: 准备 🌵 Part 4: 揭幕 🌵 Part 5: 融入 🌵 Par ...全文,2,0,0
1,6992927739,NogMPoBkA,Martin_Chou03,2023-10-17 14:53:13,湖南科技大学 彦祖们亦菲们，求一份创业基础课的创业计划书和ppt，哥们明天要上台路演还一点准备没有请喝一杯奶茶，求求各位了 ,0,0,0
1,5238325425,NogEM44CP,栗子随想录,2023-10-17 14:33:21,湖南科技大学安克内推～ 【考研考公入伍，不收取违约金】 💡安克创新24届校招火热进行中，发出500+offer集结全球创造者！💡 【💪海归&amp;语言类专场宣讲会】 安克创新视频号10月19日（本周四）20:00 国际化的安克创新，助你成为有国际化视野的职场精英 【🤨安克创新是谁】 ✨2022年全球营 ...全文,0,4,1
1,6031161998,NogbuyLqK,y阿鹿牛牛牛420,2023-10-17 13:21:13,湖南科技大学考研还在为考研所烦恼么，我们的孜料已经备齐，需要各种讲解的同学欢迎伽入我们25湘潭大学考研裙  ，我们的蔻蔻裙 ,0,1,0
1,5048382993,NoeKR1lJP,Amonologue0805,2023-10-17 09:42:51,湖南科技大学 收电动车！！！upup ,0,0,0
2,2240451483,Noa9zmZ21,湖南科技大学微博协会,2023-10-16 22:00:01,#湖南科技大学微博协会超话# #晚安湖科大# #湖南科技大学超话 #  晚安，湖科大! ,0,1,2
2,5885539809,No9DOsTUQ,易悠岚LKD,2023-10-16 20:41:47,湖南科技大学#微博迎新之夜##张远喊你关注微博迎新之夜#  微博迎新之夜来啦！ ,0,0,0
2,7482028271,No9xNycJR,Lnnn902,2023-10-16 20:26:58,湖南科技大学 家人们有没有运动会的消息，几号啊 ,0,3,0
2,5491803509,No9vMBUyI,和风很nice,2023-10-16 20:22:00,湖南科技大学考研 请问前置要求发送到管理人员邮箱，有人收到回复吗？什么时候会有回复？ ,0,0,0
2,7261166886,No95ZpP4i,六了个熏挞,2023-10-16 19:18:27,湖南科技大学科大🈶🈚狼人杀的小伙伴啊 ,0,0,0
2,6335344663,No8ivnwtx,小流萤qqq,2023-10-16 17:16:32,#湖南科技大学研究生#请问科大的学科教学思政上岸要多少分？想考贵校的研究生。 ,0,0,0
2,2061840907,No7Dtov69,三湘四水-文旅湖南,2023-10-16 15:35:26,【#湖南获批9项国家社科基金艺术学项目#】近日，文化和旅游部公布《2023年度国家社科基金艺术学项目立项名单》，湖南9个项目获批，包括8个“一般项目”和1个“青年项目”。其中，湖南师范大学4个项目，湖南大学、中南大学、湖南工业大学、湖南科技大学、长沙学院各1个项目。 2023年度国家社会科学基金 ...全文,0,0,0
2,1986888471,No6AluxBD,长沙校园,2023-10-16 12:55:00,【#湖南校园里的秋日图鉴#】 一年秋意浓，十里桂花香。一簇簇金黄色的花蕊，点缀在绿油油的枝头上。微风拂过，枝丫摇晃，花瓣飘落，是隔着屏幕都能闻到的芬芳~和沙沙一起共赴一场秋日之约吧！  #独属湖南学子的新学期浪漫#  via：@湖南科技大学 长沙校园的微博视频 ,0,0,1
2,6418260615,No5VolUWm,读研ing,2023-10-16 11:14:06,湖南科技大学 没有时间回学校， 有偿代领专八证书 ,0,3,0
3,6332525477,No5DUwaEt,用户6332525477,2023-10-16 10:31:02,湖南科技大学考研 求一份617和838哲学的历年真题 ,0,5,0
3,5373110877,No5tWnb83,yakim维C,2023-10-16 10:06:28,湖南科技大学  哪位克拉妹能出租我克拉棒呢拜托了🥺我会非常爱护的 ,0,0,0
3,2240451483,No5rk4gFb,湖南科技大学微博协会,2023-10-16 10:00:01,#湖南科技大学微博协会超话# #早安湖科大# #湖南科技大学超话 #  早安，湖科大！ ,0,0,0
3,7295281068,No1LV4s2Q,大嘴小姜爱吃香菜,2023-10-16 00:39:46,湖南科技大学 ✌️ ,0,0,0
3,6125001486,NnZGAbFQq,自明诚熊,2023-10-15 19:21:08,湖南科技大学庄子《列御寇 》之二十三  以不平平，其平也不平；以不征征，其征也不征。明者唯为之使，神者征之。夫明之不胜神也久矣，而愚者恃其所见入于人，其功外也，不亦悲乎！   译文： 用不平的（标准）平衡（事物），平的也不平。用不能验证的（东西）来验证，能验证的也不能验证。眼睛 ...全文,0,0,0
3,5653468037,NnZC1qDue,小娜早点睡o,2023-10-15 19:09:54,湖南科技大学 运动会什么时候 ,0,0,0
3,5413856162,NnY44yHLK,来往的风m,2023-10-15 15:13:31,湖南科技大学考研 有出818流体力学真题吗 ,0,1,0
3,5202716329,NnXoxlZUy,徐玉兵bB,2023-10-15 13:31:10,湖南科技大学 给忙碌的自己听点舒服的音乐洗涤一下自己的灵魂。 湘潭·湖南科技大学 徐玉兵bB的微博视频 ,0,0,2
3,5885539809,NnXmhFlqe,易悠岚LKD,2023-10-15 13:25:38,湖南科技大学我们湖南科技大学超话群正式建立啦 欢迎大家加入一起来玩吧 湖南科技大学超话群 ,0,0,0
3,6977525832,NnWfQk0AH,飞天小野猪妈妈咪呀,2023-10-15 10:37:01,湖南科技大学 有男生想换宿舍吗 本人住七区 ,0,0,1
4,7654795612,NnSSmELti,QCZ鄒,2023-10-15 02:00:56,湖南科技大学请问一下，这个是你们学校的人吗？有谁认识的吗？ ,0,0,0
4,7035593837,NnR2ghjOR,用户7035593837,2023-10-14 21:19:48,湖南科技大学有没有学校惟新车队的进来看一看小丑？某二二车辆工程 ,0,1,4
4,5328846621,NnP1r3uCn,这没有意思,2023-10-14 16:12:17,湖南科技大学研究生公寓哈哈哈这里都没有人的吗？ ,0,0,1
4,5653468037,NnNuNlzlo,小娜早点睡o,2023-10-14 12:19:08,湖南科技大学 有人知道运动会什么时候嘛 ,0,0,1
4,1854580681,NnN8Sbn9A,西安电子科技大学,2023-10-14 11:25:06,#西安电子科技大学92周年校庆# 唯实惟新，至诚致志。感谢@湖南科技大学   的祝福！愿两校友谊长存，携手共进，一起做更好的大学！,0,0,1
4,2126925453,NnN86gVPG,湖南科技大学,2023-10-14 11:23:12,#西安电子科技大学92周年校庆# 植根红色沃土，铮铮誓言，初心若磐石 赓续时代芳华，拳拳其心，无悔担使命 九十二载风雨兼程 九十二载风华正茂 厚德求真，砺学笃行 鞭策新时代学子奋发向上 勤勉务实，敢为人先 为逐梦百年凝聚前进力量 继往开来，砥砺前行 宏图大展，再续华章 @湖南科技大学  祝 ...全文,2,1,4
4,7873508661,NnMvI4ClI,湖科大商学院研究生会,2023-10-14 09:48:38,考研 ☀️欢迎大家报考湖南科技大学商学院✨ ,0,0,4
4,7763919967,NnMs9B2H5,拍照的小懒,2023-10-14 09:39:53,#长沙理工大学#湖南科技大学 ,0,1,1
4,5854181543,NnMiliJpl,一切不变花园,2023-10-14 09:15:42,湖南科技大学考研出湖科大有机化学和无机化学的真题，今年刚上岸，之后有什么复试的问题也可以回答 ,0,1,0
4,7295281068,NnJ7BxSGT,大嘴小姜爱吃香菜,2023-10-14 01:11:01,湖南科技大学 ,0,0,0
5,7344762766,NnIHncXma,子桔子_,2023-10-14 00:06:22,湖南科技大学 商院交手机这个制度要持续多久啊…… ,0,2,0
5,1986888471,NnI7GjQfe,长沙校园,2023-10-13 22:38:27,【#欢迎收看湖南高校专属频道# 】快来看！快来看！@湖南科技大学 的留学生在体验非遗文化皮影呢湖南学子的校园生活真的是丰富多彩啊～#独属湖南学子的新学期浪漫# 长沙校园的微博视频 ,0,0,2
5,2240451483,NnHS4wecZ,湖南科技大学微博协会,2023-10-13 22:00:00,#湖南科技大学微博协会超话# #晚安湖科大# #湖南科技大学超话 #  晚安，湖科大！ ,0,1,1
5,6243879563,NnGlzxrYD,哎沐哟诶-,2023-10-13 18:07:10,说起这个“学生”，年纪比我还要大，95的，28岁。本科湖南科技大学音乐专业，后来空军当了两年，现在决定回高中重新高考，考我们这个专业，且非北电央戏不上，188的个头，目测200+斤。原本以为这是一个家底蛮殷实的人。后来才发现普通的不能再普通的一个，只不过是因为兄弟姐妹三人，只有他一个男孩， ...全文,0,5,0
5,7237249392,NnFGNiF9Y,喜欢跟你聊天的橙子,2023-10-13 16:26:43,在湘潭截止2023.10.13我们（hp）去过： 窑湾 万楼 湘潭好热 塔斯汀  华隆步步高海底捞 湘江风光带  湖南科技大学 木鱼湖公园 ,0,0,0
5,5845468679,NnEtrzSI4,守护全网最真诚的小狗-刘聪,2023-10-13 13:21:05,湖南科技大学 滴滴，找乒乓球搭子，本人研三女 ,0,1,0
5,2240451483,NnDaepZ7c,湖南科技大学微博协会,2023-10-13 10:01:00,#湖南科技大学微博协会超话# #早安湖科大# #湖南科技大学超话 #  早安，湖科大！    人生是不断与理想的自己进行比较，不是活在他人的评价之下。我们不是为了满足他人的期待而活，而是为了自己活出自己的人生。对方如何看待你，是对方的课题。愿我们都有一颗強大的內心，活出自己的光芒🌻 ,0,0,0
5,1653483527,NnCX3lFwQ,研招网,2023-10-13 09:28:32,【湖南科技大学2023年在职研究生招生简章，3.6万全程】秋季招生，为进一步服务社会需求，在人才培养上向培养高层次创新型应用人才全面转型，根据《关于进一步加强在职人员攻读硕士专业学位和授予同等学力人员硕士、博士学位管理工作的意见》（学位〔2013〕36号）、《湖南科技大学同等学力人员申请硕士 ...全文,0,0,2
5,6018711546,NnzRaiXha,允安yay,2023-10-13 01:35:47,湖南科技大学考研 有学校上岸学长整理的考研资料、真题和答案，需要的话可以和我联系咨询q1321986687，祝学弟学妹们圆梦理想院校！ ,0,1,4
5,2240451483,NnxES3tMY,湖南科技大学微博协会,2023-10-12 20:00:00,#湖南科技大学微博协会超话# #晚安湖科大# #湖南科技大学超话 #  晚安，湖科大！ ,0,1,1
6,6125001486,NnxtX9w45,自明诚熊,2023-10-12 19:33:05,湖南科技大学庄子《列御寇 》之二十二  弟子曰：“吾恐乌鸢（yuān）之食夫子也。” 庄子曰：“在上为乌鸢食，在下为蝼蚁食，夺彼与此，何其偏也。”   注释 ①夺彼与此，何其偏也：夺去彼的食物而给予此，为何这样偏心呢？  译文：弟子说：“我恐惧的是乌鸢之琢食夫子也。” 庄子说：“在上为 ...全文,0,0,0
6,2126925453,Nnxr3ndVP,湖南科技大学,2023-10-12 19:25:58,#科大要闻速读#  【重大合作‼️科大×湘煤集团】科技赋能煤炭，智慧成就未来10月10日，湖南科技大学与湘煤集团战略合作协议签约仪式举行。优势互补，互惠互利，建立全面的产学研合作关系 ,0,1,6
6,5782768874,Nnuu8vP5f,换个ID你猜我谁呢,2023-10-12 11:55:19,湖南科技大学 这就是你们引以为傲的素质吗大学生们 ,0,0,1
6,7870504410,Nnuse0irX,用户7870504410,2023-10-12 11:50:36,湖南科技大学考研  求842背诵资料 ,0,1,0
6,6619429099,Nnu657LWA,与意不归丶,2023-10-12 10:56:03,湖南科技大学湖南科技大学学校哪里可以修电脑啊 ,0,1,0
6,7735656639,Nnu3Tft1Z,Tuhand摘hoshi,2023-10-12 10:50:39,湖南科技大学车要月底才能取 要不要这么离谱啊啊啊啊啊？？？？ ,0,1,1
6,6611421570,NntMQu8Wd,香烟啤酒饮料矿泉水八宝粥,2023-10-12 10:08:40,湖南科技大学考研求学科语文专业课二836的背诵资料和真题！！谢谢谢谢 ,0,9,0
6,2240451483,NntJkpMMI,湖南科技大学微博协会,2023-10-12 10:00:00,#湖南科技大学微博协会超话# #早安湖科大# #湖南科技大学超话 #  早安，湖科大！ ,0,0,0
7,5453254374,NnmiQiaad,把所有的坏情绪都丢掉,2023-10-11 15:05:31,湖科大美食来喽！ 真·碳火烤肉 食材保证绝对新鲜 味道杠杠滴湖南科技大学#湖南科技大学# 湘潭·湖南科技大学 ,0,3,1
7,7525791743,Nnme1buQV,用户7525791743,2023-10-11 14:53:37,湖南科技大学考研球818流体力学考研真题 ,0,8,0
7,2112652542,Nnkkh9cs8,衡阳校园,2023-10-11 10:03:33,#湖南高校申请出道# #湖南高校秋日图鉴# #独属湖南学子的新学期浪漫# 湖南高校申请出道，湖南高校的浪漫无处不在，它藏在清晨的阳光里，洒在操场上，斜照在图书馆的窗户上。和沙沙一起来看看@湖南科技大学 的美景吧 长沙校园的微博视频 ,0,0,0
7,7298547729,NnjLqszsX,小榴吖梓,2023-10-11 08:37:42,湖南科技大学考研求外国语言文学，二外日语23年真题或回忆版 ,0,4,1
7,5202716329,Nngt8dLK6,徐玉兵bB,2023-10-11 00:14:23,湖南科技大学 打鼓还是快乐 湘潭·青鸟琴行(旗舰总店) 徐玉兵bB的微博视频 ,0,0,0
7,6391086618,NnfOHzaKq,您的网友小王W,2023-10-10 22:34:46,湖南科技大学考研便宜出湖科大马理论考研资料，不考了，奶茶价 ,0,0,2
7,2240451483,NnfAAiglQ,湖南科技大学微博协会,2023-10-10 22:00:00,#湖南科技大学微博协会超话# #晚安湖科大# #湖南科技大学超话 #  晚安，湖科大！ ,0,1,2
7,5624193336,NnePq5Sgz,黑黑不白_ziyi,2023-10-10 20:03:48,日常#庙里的日子#  室友被学姐安利了一家粉店，我们今天迫不及待的去尝，因为文庙这边实在是太美食荒漠了，来了南方吃得最多的就是粉，我也很爱吃，果然不负所望特别有人情味儿的一家粉店，开在老居民区里，婆婆热情地告诉我们码子和馄饨都是她早上现做的！真的很好吃，比食堂好吃100倍！ ...全文,0,2,1
7,5167260037,Nndi4v3AO,湘潭小铁,2023-10-10 16:08:54,胡贺波主持召开专题会议，研究湘潭深化校地企合作、湘潭大学城产教融合工作#中铁和著莲城#湘潭·湖南科技大学 ,0,0,0
7,5642945048,NnaYyBoSC,他们都叫我大红,2023-10-10 10:15:20,湖南科技大学请问有人知道湖科大宿舍八区那个刷脸的系统是在哪里录入人脸的吗？ 每天站着傻傻等开门 湘潭·湖南科技大学 ,0,4,0
8,2240451483,Nna5DoFRG,湖南科技大学微博协会,2023-10-10 08:00:00,#湖南科技大学微博协会超话# #早安湖科大# #湖南科技大学超话 #  早安，湖科大！ ,0,0,1
8,7770457557,Nna4i3ZSs,小z幸运星,2023-10-10 07:56:42,湖南科技大学考研 出湖科大学科思政842真题 ,0,2,0
8,6125001486,Nn6e4xt6m,自明诚熊,2023-10-09 22:09:49,湖南科技大学庄子《列御寇 》之二十一  庄子将死，弟子欲厚葬之。庄子曰：“吾以天地为棺椁，以日月为连璧，星辰为珠玑，万物为赍（jī）送。吾葬具岂不备邪？何以加此！”   注释 ①以日月为连璧：以日月为接连的碧玉。②赍（jī）送：礼物。③何以加此：还有什么要添加的？  译文：庄子将死 ...全文,0,0,0
8,6374491580,Nn5WUFAsD,海锋JHF,2023-10-09 21:27:33,湖南科技大学有商学院的博士研究生学长学姐吗？考博咨询 ,0,1,2
8,7659707746,Nn5QNfXCh,用户7659707746,2023-10-09 21:12:28,湖南科技大学考研蹲一个应用经济学上岸的学长学姐 ,0,3,0
